001  00288 |Loss: 1.146 | Acc: 67.546% 
001  00289 |Loss: 1.144 | Acc: 67.571% 
001  00290 |Loss: 1.142 | Acc: 67.629% 
001  00291 |Loss: 1.141 | Acc: 67.612% 
001  00292 |Loss: 1.139 | Acc: 67.658% 
001  00293 |Loss: 1.137 | Acc: 67.658% 
002  00294 |Loss: 0.513 | Acc: 81.250% 
002  00295 |Loss: 0.617 | Acc: 71.875% 
002  00296 |Loss: 0.576 | Acc: 75.000% 
002  00297 |Loss: 0.612 | Acc: 75.000% 
002  00298 |Loss: 0.552 | Acc: 77.500% 
002  00299 |Loss: 0.587 | Acc: 76.562% 
002  00300 |Loss: 0.587 | Acc: 76.339% 
002  00301 |Loss: 0.571 | Acc: 76.953% 
002  00302 |Loss: 0.589 | Acc: 76.389% 
002  00303 |Loss: 0.585 | Acc: 77.188% 
002  00304 |Loss: 0.575 | Acc: 77.841% 
002  00305 |Loss: 0.564 | Acc: 78.385% 
002  00306 |Loss: 0.573 | Acc: 77.644% 
002  00307 |Loss: 0.593 | Acc: 76.562% 
002  00308 |Loss: 0.585 | Acc: 77.292% 
002  00309 |Loss: 0.572 | Acc: 77.734% 
002  00310 |Loss: 0.573 | Acc: 77.757% 
002  00311 |Loss: 0.586 | Acc: 77.778% 
002  00312 |Loss: 0.590 | Acc: 77.467% 
002  00313 |Loss: 0.613 | Acc: 76.719% 
002  00314 |Loss: 0.604 | Acc: 76.935% 
002  00315 |Loss: 0.600 | Acc: 77.415% 
002  00316 |Loss: 0.604 | Acc: 77.038% 
002  00317 |Loss: 0.599 | Acc: 77.083% 
002  00318 |Loss: 0.595 | Acc: 77.125% 
002  00319 |Loss: 0.589 | Acc: 77.404% 
002  00320 |Loss: 0.588 | Acc: 77.199% 
002  00321 |Loss: 0.585 | Acc: 77.232% 
002  00322 |Loss: 0.585 | Acc: 77.047% 
002  00323 |Loss: 0.585 | Acc: 77.083% 
002  00324 |Loss: 0.598 | Acc: 76.815% 
002  00325 |Loss: 0.597 | Acc: 76.758% 
002  00326 |Loss: 0.589 | Acc: 76.989% 
002  00327 |Loss: 0.585 | Acc: 77.206% 
002  00328 |Loss: 0.588 | Acc: 77.232% 
002  00329 |Loss: 0.591 | Acc: 77.257% 
002  00330 |Loss: 0.596 | Acc: 77.027% 
002  00331 |Loss: 0.600 | Acc: 76.974% 
002  00332 |Loss: 0.595 | Acc: 77.244% 
002  00333 |Loss: 0.590 | Acc: 77.500% 
002  00334 |Loss: 0.588 | Acc: 77.439% 
002  00335 |Loss: 0.586 | Acc: 77.455% 
002  00336 |Loss: 0.585 | Acc: 77.544% 
002  00337 |Loss: 0.581 | Acc: 77.841% 
002  00338 |Loss: 0.574 | Acc: 78.264% 
002  00339 |Loss: 0.571 | Acc: 78.261% 
002  00340 |Loss: 0.567 | Acc: 78.258% 
002  00341 |Loss: 0.564 | Acc: 78.255% 
002  00342 |Loss: 0.563 | Acc: 78.380% 
002  00343 |Loss: 0.563 | Acc: 78.438% 
002  00344 |Loss: 0.569 | Acc: 78.248% 
002  00345 |Loss: 0.569 | Acc: 78.365% 
002  00346 |Loss: 0.574 | Acc: 77.948% 
002  00347 |Loss: 0.570 | Acc: 78.125% 
002  00348 |Loss: 0.565 | Acc: 78.466% 
002  00349 |Loss: 0.564 | Acc: 78.571% 
002  00350 |Loss: 0.572 | Acc: 78.564% 
002  00351 |Loss: 0.567 | Acc: 78.825% 
002  00352 |Loss: 0.565 | Acc: 78.867% 
002  00353 |Loss: 0.564 | Acc: 79.010% 
002  00354 |Loss: 0.561 | Acc: 79.098% 
002  00355 |Loss: 0.565 | Acc: 78.881% 
002  00356 |Loss: 0.567 | Acc: 78.720% 
002  00357 |Loss: 0.569 | Acc: 78.662% 
002  00358 |Loss: 0.570 | Acc: 78.462% 
002  00359 |Loss: 0.571 | Acc: 78.409% 
002  00360 |Loss: 0.571 | Acc: 78.405% 
002  00361 |Loss: 0.574 | Acc: 78.217% 
002  00362 |Loss: 0.574 | Acc: 78.306% 
002  00363 |Loss: 0.573 | Acc: 78.438% 
002  00364 |Loss: 0.571 | Acc: 78.653% 
002  00365 |Loss: 0.570 | Acc: 78.646% 
002  00366 |Loss: 0.567 | Acc: 78.810% 
002  00367 |Loss: 0.564 | Acc: 79.012% 
002  00368 |Loss: 0.561 | Acc: 79.208% 
002  00369 |Loss: 0.557 | Acc: 79.400% 
002  00370 |Loss: 0.554 | Acc: 79.464% 
002  00371 |Loss: 0.550 | Acc: 79.527% 
002  00372 |Loss: 0.552 | Acc: 79.509% 
002  00373 |Loss: 0.550 | Acc: 79.570% 
002  00374 |Loss: 0.548 | Acc: 79.630% 
002  00375 |Loss: 0.545 | Acc: 79.764% 
002  00376 |Loss: 0.543 | Acc: 79.857% 
002  00377 |Loss: 0.543 | Acc: 79.911% 
002  00378 |Loss: 0.542 | Acc: 79.963% 
002  00379 |Loss: 0.541 | Acc: 79.906% 
002  00380 |Loss: 0.540 | Acc: 79.921% 
002  00381 |Loss: 0.541 | Acc: 79.865% 
002  00382 |Loss: 0.545 | Acc: 79.635% 
002  00383 |Loss: 0.545 | Acc: 79.583% 
002  00384 |Loss: 0.547 | Acc: 79.567% 
002  00385 |Loss: 0.547 | Acc: 79.654% 
002  00386 |Loss: 0.548 | Acc: 79.671% 
002  00387 |Loss: 0.547 | Acc: 79.654% 
002  00388 |Loss: 0.545 | Acc: 79.803% 
002  00389 |Loss: 0.546 | Acc: 79.785% 
002  00390 |Loss: 0.546 | Acc: 79.800% 
002  00391 |Loss: 0.546 | Acc: 79.847% 
002  00392 |Loss: 0.548 | Acc: 79.766% 
002  00393 |Loss: 0.548 | Acc: 79.688% 
002  00394 |Loss: 0.547 | Acc: 79.734% 
002  00395 |Loss: 0.544 | Acc: 79.871% 
002  00396 |Loss: 0.544 | Acc: 79.945% 
002  00397 |Loss: 0.544 | Acc: 79.898% 
002  00398 |Loss: 0.544 | Acc: 79.940% 
002  00399 |Loss: 0.543 | Acc: 80.012% 
002  00400 |Loss: 0.541 | Acc: 80.140% 
002  00401 |Loss: 0.538 | Acc: 80.208% 
002  00402 |Loss: 0.538 | Acc: 80.189% 
002  00403 |Loss: 0.540 | Acc: 80.199% 
002  00404 |Loss: 0.541 | Acc: 80.152% 
002  00405 |Loss: 0.541 | Acc: 80.134% 
002  00406 |Loss: 0.543 | Acc: 80.116% 
002  00407 |Loss: 0.543 | Acc: 80.099% 
002  00408 |Loss: 0.543 | Acc: 80.082% 
002  00409 |Loss: 0.541 | Acc: 80.199% 
002  00410 |Loss: 0.540 | Acc: 80.235% 
002  00411 |Loss: 0.539 | Acc: 80.270% 
002  00412 |Loss: 0.540 | Acc: 80.200% 
002  00413 |Loss: 0.539 | Acc: 80.234% 
002  00414 |Loss: 0.538 | Acc: 80.294% 
002  00415 |Loss: 0.536 | Acc: 80.353% 
002  00416 |Loss: 0.536 | Acc: 80.361% 
002  00417 |Loss: 0.535 | Acc: 80.444% 
002  00418 |Loss: 0.536 | Acc: 80.350% 
002  00419 |Loss: 0.533 | Acc: 80.456% 
002  00420 |Loss: 0.533 | Acc: 80.512% 
002  00421 |Loss: 0.533 | Acc: 80.566% 
002  00422 |Loss: 0.532 | Acc: 80.644% 
002  00423 |Loss: 0.530 | Acc: 80.673% 
002  00424 |Loss: 0.529 | Acc: 80.701% 
002  00425 |Loss: 0.531 | Acc: 80.705% 
002  00426 |Loss: 0.530 | Acc: 80.663% 
002  00427 |Loss: 0.530 | Acc: 80.690% 
002  00428 |Loss: 0.529 | Acc: 80.718% 
002  00429 |Loss: 0.526 | Acc: 80.836% 
002  00430 |Loss: 0.527 | Acc: 80.885% 
002  00431 |Loss: 0.529 | Acc: 80.797% 
002  00432 |Loss: 0.527 | Acc: 80.890% 
002  00433 |Loss: 0.525 | Acc: 80.960% 
002  00434 |Loss: 0.523 | Acc: 81.051% 
002  00435 |Loss: 0.524 | Acc: 81.074% 
002  00436 |Loss: 0.525 | Acc: 80.988% 
002  00437 |Loss: 0.525 | Acc: 80.990% 
002  00438 |Loss: 0.523 | Acc: 81.034% 
002  00439 |Loss: 0.523 | Acc: 81.079% 
002  00440 |Loss: 0.523 | Acc: 81.101% 
002  00441 |Loss: 0.522 | Acc: 81.144% 
002  00442 |Loss: 0.521 | Acc: 81.124% 
002  00443 |Loss: 0.520 | Acc: 81.167% 
002  00444 |Loss: 0.520 | Acc: 81.105% 
002  00445 |Loss: 0.521 | Acc: 81.065% 
002  00446 |Loss: 0.519 | Acc: 81.127% 
002  00447 |Loss: 0.517 | Acc: 81.209% 
002  00448 |Loss: 0.516 | Acc: 81.270% 
002  00449 |Loss: 0.516 | Acc: 81.250% 
002  00450 |Loss: 0.516 | Acc: 81.250% 
002  00451 |Loss: 0.515 | Acc: 81.290% 
002  00452 |Loss: 0.515 | Acc: 81.270% 
002  00453 |Loss: 0.514 | Acc: 81.289% 
002  00454 |Loss: 0.513 | Acc: 81.347% 
002  00455 |Loss: 0.512 | Acc: 81.404% 
002  00456 |Loss: 0.512 | Acc: 81.365% 
002  00457 |Loss: 0.511 | Acc: 81.421% 
002  00458 |Loss: 0.510 | Acc: 81.477% 
002  00459 |Loss: 0.510 | Acc: 81.438% 
002  00460 |Loss: 0.512 | Acc: 81.400% 
002  00461 |Loss: 0.512 | Acc: 81.399% 
002  00462 |Loss: 0.512 | Acc: 81.435% 
002  00463 |Loss: 0.513 | Acc: 81.360% 
002  00464 |Loss: 0.513 | Acc: 81.341% 
002  00465 |Loss: 0.512 | Acc: 81.359% 
002  00466 |Loss: 0.511 | Acc: 81.376% 
002  00467 |Loss: 0.511 | Acc: 81.430% 
002  00468 |Loss: 0.509 | Acc: 81.482% 
002  00469 |Loss: 0.511 | Acc: 81.428% 
002  00470 |Loss: 0.511 | Acc: 81.427% 
002  00471 |Loss: 0.511 | Acc: 81.426% 
002  00472 |Loss: 0.511 | Acc: 81.425% 
002  00473 |Loss: 0.511 | Acc: 81.424% 
002  00474 |Loss: 0.510 | Acc: 81.457% 
002  00475 |Loss: 0.510 | Acc: 81.490% 
002  00476 |Loss: 0.510 | Acc: 81.455% 
002  00477 |Loss: 0.509 | Acc: 81.505% 
002  00478 |Loss: 0.509 | Acc: 81.453% 
002  00479 |Loss: 0.508 | Acc: 81.468% 
002  00480 |Loss: 0.508 | Acc: 81.517% 
002  00481 |Loss: 0.506 | Acc: 81.582% 
002  00482 |Loss: 0.505 | Acc: 81.630% 
002  00483 |Loss: 0.504 | Acc: 81.661% 
002  00484 |Loss: 0.504 | Acc: 81.659% 
002  00485 |Loss: 0.502 | Acc: 81.706% 
002  00486 |Loss: 0.502 | Acc: 81.703% 
002  00487 |Loss: 0.501 | Acc: 81.733% 
002  00488 |Loss: 0.499 | Acc: 81.779% 
002  00489 |Loss: 0.499 | Acc: 81.824% 
002  00490 |Loss: 0.500 | Acc: 81.758% 
002  00491 |Loss: 0.500 | Acc: 81.755% 
002  00492 |Loss: 0.501 | Acc: 81.705% 
002  00493 |Loss: 0.500 | Acc: 81.719% 
002  00494 |Loss: 0.500 | Acc: 81.701% 
002  00495 |Loss: 0.501 | Acc: 81.668% 
002  00496 |Loss: 0.501 | Acc: 81.650% 
002  00497 |Loss: 0.500 | Acc: 81.664% 
002  00498 |Loss: 0.500 | Acc: 81.723% 
002  00499 |Loss: 0.500 | Acc: 81.720% 
002  00500 |Loss: 0.499 | Acc: 81.733% 
002  00501 |Loss: 0.498 | Acc: 81.806% 
002  00502 |Loss: 0.499 | Acc: 81.758% 
002  00503 |Loss: 0.499 | Acc: 81.771% 
002  00504 |Loss: 0.501 | Acc: 81.665% 
002  00505 |Loss: 0.500 | Acc: 81.707% 
002  00506 |Loss: 0.498 | Acc: 81.734% 
002  00507 |Loss: 0.498 | Acc: 81.746% 
002  00508 |Loss: 0.498 | Acc: 81.744% 
002  00509 |Loss: 0.497 | Acc: 81.756% 
002  00510 |Loss: 0.496 | Acc: 81.768% 
002  00511 |Loss: 0.497 | Acc: 81.737% 
002  00512 |Loss: 0.497 | Acc: 81.778% 
002  00513 |Loss: 0.496 | Acc: 81.818% 
002  00514 |Loss: 0.495 | Acc: 81.858% 
002  00515 |Loss: 0.495 | Acc: 81.883% 
002  00516 |Loss: 0.495 | Acc: 81.909% 
002  00517 |Loss: 0.494 | Acc: 81.920% 
002  00518 |Loss: 0.493 | Acc: 81.958% 
